ID	Name	Sex	Original Treatment	Final Treatment	Day Post-Infection	Date	Number of IT-injected mosquitoes that fed	Number of IT-injected mosquitoes that fed and survived to assay	Number of mosquitoes with detectable DENV-2 in collected saliva	Number  IT-injected mosquitoes with saliva positive for DENV-2 after one passage of saliva in C6/36 cells	% IT-injected mosquitoes with saliva positive for DENV-2 after one passage of saliva in C6/36 cells	Raw estimated titer delivered (FFU)	Corrected estimated titer delivered (log10)	PRNT50	PRNT80	PRNT90	Viremia (pfu/ml)	Viremia detected after 1 passage?	Viremia deduced	Number of mosquitoes that engorged	Number of mosquitoes that engorged AND survived to titer	Number of mosquitoes with detectable body infection	Number of mosquitoes with detectable leg infection	Number of mosquitoes with positive saliva without amplification	Number of mosquitoes with positive saliva after amplification	% mosquitoes infected (body)	% mosquitoes infected (legs)	% mosquitoes infected (body, legs, or saliva)	Mean titer of infected mosquitoes (bodies)	SE of mean titer of infected mosquitoes (bodies)	Mean titer of infected mosquitoes (legs)	SE of mean titer of infected mosquitoes (legs)	Weight (g)	WBC	LYM	MON	NEU	LYM%	MON%	NEU%	RBC	HGB	HCT	MCH	MCV	MCHC	RDWc	RDWs	PLT	MPV	PCT	PDWc	PDWs	PrVW	PrVR	PrVE	WBC Lyse	Lyse2	% NK cells	Number NK cells	TGFbeta	IL-1B	G-CSF	IL-10	IL-6	IL-12	RANTES	Eotaxin	IL-17	MIP-1a	GM-CSF	MIP-1B	MCP-1	IL-15	EGF	IL-5	HGF	VEGF	IFN-g	MDC	I-TAC	MIF	IL-RA	TNF-alpha	IL-2	IP-10	MIG	IL-4	IL-8
5013	Melody	F	15 Mosquitos	15 Mosquitos	3	2021-04-15											8000	Y	8000	14	9	2	8	1	4	22	89	89	6.338347	0.059593	3.87229	0.67344	737																												98.08	11.45	66.71	6.78	3.85	1395.21	9.2	1.19	15.66	113.27	10.01	303.74	1510.14	334.09	54.93	3.99	6306.33	0.48	443	602.08	79.51	175.76	45.66	9.9	21.89	12.75	11.8	19.49	5.83
4806	Carrie	F	15 Mosquitos	15 Mosquitos	3	2021-04-15											20000	Y	20000	6	0												708																												324.38	4.46	7.56	71.81	29.53	878.52	10.67	1.19	15.66	76.75	6.48	1467.21	3897.36	2197.43	133.67	3.24	2306.16	0.48	3001.76	147.6	41.06	137.21	39.16	9.9	21.89	2.58	11.8	19.49	5.83
6347	Bloomer	M	15 Mosquitos	15 Mosquitos	3	2021-04-15													125010																																																																						
6359	Cassidy	M	15 Mosquitos	15 Mosquitos	3	2021-04-15													7060																																																																						
5730	Lydia	F	15 Mosquitos	15 Mosquitos	3	2021-04-15													9070																																																																						
4683	Minerva	F	15 Mosquitos	15 Mosquitos	3	2021-04-15													550500																																																																						
4728	Hope	F	15 Mosquitos	15 Mosquitos	3	2021-04-15													950500																																																																						
5929	Polly	F	Control	Control	3	2021-04-15											0	N	0	14	13												600																												1.45	0.45	56.75	6.78	3.85	55.3	30	1.19	15.66	14.2	4.62	33.78	10.06	38.02	1.67	3.24	35.33	0.48	7.72	94.68	51.48	203.82	27.75	6	21.89	2.18	11.8	19.49	5.83
5080	Scarlet	F	Control	Control	3	2021-04-15													0																																																																						
6550	Uriah	M	15 Mosquitos	15 Mosquitos	4	2021-04-16													8500																																																																						
